report_id,report_text,sif_label,life_saving_rule,activity,location,barrier_failure,source,source_url,industry,incident_type,date,data_origin
NON-SIF-018,"During near-miss observation at the pedestrian walkway, a pedestrian stepped briefly outside a marked walkway; no vehicle was nearby and no impact potential existed. The observation was resolved through routine corrective action.",Non-SIF,Traffic Awareness,Near-miss observation,Pedestrian walkway,Pedestrian awareness and designated walkways,Internal Test Dataset,,Construction,Near Miss,2024-04-10,internal_test
SIF-034,"During pressure testing / line breaking at the pressure-test area, a worker stood in the line of fire during pressure testing without hose restraint. The task was stopped and the area was secured.",SIF,Pressure Systems,Pressure testing / line breaking,Pressure-test area,"Depressurization, pressure relief, rated equipment, and hose restraint",Internal Test Dataset,,Manufacturing,SIF precursor,2025-10-24,internal_test
NON-SIF-046,"During documentation review at the control room, a shift log contained an incomplete equipment-status entry and was corrected. The observation was resolved through routine corrective action.",Non-SIF,Documentation Control,Documentation review,Control room,Record completion and shift handover,Internal Test Dataset,,Food Processing,Near Miss,2026-03-19,internal_test
NON-SIF-054,"During near-miss observation at the pedestrian walkway, a pedestrian stepped briefly outside a marked walkway; no vehicle was nearby and no impact potential existed. The observation was resolved through routine corrective action.",Non-SIF,Traffic Awareness,Near-miss observation,Pedestrian walkway,Pedestrian awareness and designated walkways,Internal Test Dataset,,Construction,Near Miss,2025-07-09,internal_test
SIF-080,"During excavation work at the utility trench, a worker entered an unsupported excavation exceeding safe depth. The deviation had potential for fatal or life-altering harm.",SIF,Excavation Safety,Excavation work,Utility trench,"Competent-person inspection and shoring, shielding, or sloping",Internal Test Dataset,,Energy,SIF precursor,2024-05-01,internal_test
SIF-032,"During excavation work at the utility trench, a worker entered an unsupported excavation exceeding safe depth. The deviation had potential for fatal or life-altering harm.",SIF,Excavation Safety,Excavation work,Utility trench,"Competent-person inspection and shoring, shielding, or sloping",Internal Test Dataset,,Energy,SIF precursor,2026-12-14,internal_test
SIF-012,"During maintenance / material handling at the mobile-equipment maintenance bay, a worker worked beneath an elevated component without blocking it against movement. The deviation had potential for fatal or life-altering harm.",SIF,Line of Fire,Maintenance / material handling,Mobile-equipment maintenance bay,"Exclusion zone, blocking, and stored-energy control",Internal Test Dataset,,Mining,SIF precursor,2025-02-02,internal_test
SIF-035,"During process operation at the reactor area, a worker continued process operation after a critical pressure or temperature alarm. The event was reported for immediate corrective action.",SIF,Process Safety,Process operation,Reactor area,"Operating procedure, alarm response, management of change, and relief protection",Internal Test Dataset,,Oil & Gas,Potential SIF,2026-07-01,internal_test
NON-SIF-022,"During documentation review at the control room, a shift log contained an incomplete equipment-status entry and was corrected. The observation was resolved through routine corrective action.",Non-SIF,Documentation Control,Documentation review,Control room,Record completion and shift handover,Internal Test Dataset,,Food Processing,Near Miss,2026-03-05,internal_test
SIF-088,"During welding / cutting at the process-unit pipe rack, a worker performed hot work without required gas testing and fire-watch controls. The deviation had potential for fatal or life-altering harm.",SIF,Hot Work,Welding / cutting,Process-unit pipe rack,"Hot-work permit, gas test, combustible control, and fire watch",Internal Test Dataset,,Energy,SIF precursor,2026-02-06,internal_test
SIF-026,"During electrical maintenance at the motor control center, a worker began work on equipment that had not been confirmed de-energized. The task was stopped and the area was secured.",SIF,Electrical Safety,Electrical maintenance,Motor control center,"De-energization, LOTO, test-before-touch, PPE, and insulated tools",Internal Test Dataset,,Manufacturing,SIF precursor,2025-06-09,internal_test
SIF-075,"During equipment maintenance at the conveyor maintenance area, a worker started maintenance before all energy sources were isolated and verified. The event was reported for immediate corrective action.",SIF,Energy Isolation,Equipment maintenance,Conveyor maintenance area,"LOTO, isolation verification, and zero-energy test",Internal Test Dataset,,Oil & Gas,Potential SIF,2026-09-28,internal_test
SIF-049,"During confined-space entry at the process vessel, a worker entered a confined space without gas testing or a completed permit. The condition was identified before injury occurred.",SIF,Confined Space Entry,Confined-space entry,Process vessel,"Entry permit, gas testing, ventilation, attendant, and rescue arrangement",Internal Test Dataset,,Construction,Potential SIF,2024-12-27,internal_test
SIF-061,"During confined-space entry at the process vessel, a worker entered a confined space without gas testing or a completed permit. The condition was identified before injury occurred.",SIF,Confined Space Entry,Confined-space entry,Process vessel,"Entry permit, gas testing, ventilation, attendant, and rescue arrangement",Internal Test Dataset,,Chemical,Potential SIF,2024-12-14,internal_test
SIF-087,"During equipment maintenance at the conveyor maintenance area, a worker started maintenance before all energy sources were isolated and verified. The event was reported for immediate corrective action.",SIF,Energy Isolation,Equipment maintenance,Conveyor maintenance area,"LOTO, isolation verification, and zero-energy test",Internal Test Dataset,,Utilities,Potential SIF,2024-01-21,internal_test
NON-SIF-058,"During documentation review at the control room, a shift log contained an incomplete equipment-status entry and was corrected. The observation was resolved through routine corrective action.",Non-SIF,Documentation Control,Documentation review,Control room,Record completion and shift handover,Internal Test Dataset,,Food Processing,Near Miss,2026-04-23,internal_test
NON-SIF-067,"During housekeeping inspection at the tool crib, a hand tool was left on a bench and was returned to the assigned storage location. The item was recorded for normal follow-up.",Non-SIF,Housekeeping,Housekeeping inspection,Tool crib,Tool storage and routine inspection,Internal Test Dataset,,Manufacturing,Low-risk observation,2026-10-27,internal_test
